longitude,latitude,name,comment
-120.9133482,35.25414919,PB01,1
-120.9072016,35.25415829,PB02,1
-120.9106987,35.24847725,PB03,1
-120.9046536,35.24919226,PB04,1
-120.9042181,35.24423596,PB05,1
-120.9013018,35.23926559,PB06,1
-120.8952421,35.23933997,PB07,1
-120.8952972,35.23434884,PB08,1
-120.889243,35.23106588,PB09,1
-120.8833147,35.22654799,PB10,1
-120.8788523,35.22055422,PB11,1
-120.8998144,35.28947661,PB12,1
-120.9073157,35.28514683,PB13,1
-120.9012744,35.28450941,PB14,1
-120.9115359,35.28010691,PB15,1
-120.9053239,35.27953855,PB16,1
-120.9122126,35.27509602,PB17,1
-120.9061287,35.27454063,PB18,1
-120.9168545,35.27009097,PB19,1
-120.9105544,35.26952005,PB20,1
-120.9161584,35.26452772,PB21,1
-120.9098329,35.26448548,PB22,1
-120.9078489,35.25414919,PB01,2
-120.9017023,35.25415829,PB02,2
-120.9051994,35.24847725,PB03,2
-120.8991543,35.24919226,PB04,2
-120.8987188,35.24423596,PB05,2
-120.8958024,35.23926559,PB06,2
-120.8897427,35.23933997,PB07,2
-120.8897979,35.23434884,PB08,2
-120.8837437,35.23106588,PB09,2
-120.8778154,35.22654799,PB10,2
-120.873353,35.22055422,PB11,2
-120.894315,35.28947661,PB12,2
-120.9018164,35.28514683,PB13,2
-120.8957751,35.28450941,PB14,2
-120.9060366,35.28010691,PB15,2
-120.8998246,35.27953855,PB16,2
-120.9067133,35.27509602,PB17,2
-120.9006294,35.27454063,PB18,2
-120.9113552,35.27009097,PB19,2
-120.9050551,35.26952005,PB20,2
-120.9106591,35.26452772,PB21,2
-120.9043335,35.26448548,PB22,2
-120.9133482,35.249644,PB01,3
-120.9072016,35.2496531,PB02,3
-120.9106987,35.24397206,PB03,3
-120.9046536,35.24468706,PB04,3
-120.9042181,35.23973077,PB05,3
-120.9013018,35.2347604,PB06,3
-120.8952421,35.23483478,PB07,3
-120.8952972,35.22984365,PB08,3
-120.889243,35.22656069,PB09,3
-120.8833147,35.2220428,PB10,3
-120.8788523,35.21604903,PB11,3
-120.8998144,35.28497142,PB12,3
-120.9073157,35.28064164,PB13,3
-120.9012744,35.28000422,PB14,3
-120.9115359,35.27560172,PB15,3
-120.9053239,35.27503336,PB16,3
-120.9122126,35.27059083,PB17,3
-120.9061287,35.27003544,PB18,3
-120.9168545,35.26558578,PB19,3
-120.9105544,35.26501486,PB20,3
-120.9161584,35.26002253,PB21,3
-120.9098329,35.25998029,PB22,3
-120.9078489,35.249644,PB01,4
-120.9017023,35.2496531,PB02,4
-120.9051994,35.24397206,PB03,4
-120.8991543,35.24468706,PB04,4
-120.8987188,35.23973077,PB05,4
-120.8958024,35.2347604,PB06,4
-120.8897427,35.23483478,PB07,4
-120.8897979,35.22984365,PB08,4
-120.8837437,35.22656069,PB09,4
-120.8778154,35.2220428,PB10,4
-120.873353,35.21604903,PB11,4
-120.894315,35.28497142,PB12,4
-120.9018164,35.28064164,PB13,4
-120.8957751,35.28000422,PB14,4
-120.9060366,35.27560172,PB15,4
-120.8998246,35.27503336,PB16,4
-120.9067133,35.27059083,PB17,4
-120.9006294,35.27003544,PB18,4
-120.9113552,35.26558578,PB19,4
-120.9050551,35.26501486,PB20,4
-120.9106591,35.26002253,PB21,4
-120.9043335,35.25998029,PB22,4
