species,prefillet_length,postfillet_length
Blue,23.9,24.9
Blue,34.7,35.7
Blue,25.8,26.7
Blue,30.5,31.6
Blue,30.1,30.9
Blue,29.4,30.2
Blue,26.9,27.6
Blue,30.4,31.6
Blue,27.9,29
Blue,26,27.3
Blue,29.9,31
Blue,24.9,25.9
Blue,23,24
Blue,26.2,26.9
Blue,24.5,25.6
Blue,22.6,23.2
Blue,34,34.1
Blue,26,26.8
Blue,25.5,25.2
Blue,27.3,27.3
Blue,25.1,24.9
Blue,27.5,27.7
Blue,28.3,28.6
Blue,31.2,31.5
Blue,28.3,29.1
Blue,26.4,27.7
Blue,28.5,28.9
Blue,26.5,26.7
Blue,25.8,26
Blue,30.1,30.9
Blue,29.4,29.9
Blue,23.6,24.3
Blue,24,25.2
Blue,30.9,30.6
Blue,20.9,22
Blue,33.8,35.1
Blue,27,28.2
Blue,25,25.4
Blue,29.5,29.6
Blue,19.9,20.5
Blue,40.7,41.5
Blue,33.2,34
Blue,,34.6
Blue,38.8,39.4
Blue,34.1,34.4
Blue,30.4,31.6
Blue,37.7,38
Blue,36.7,37.5
Blue,,38.6
Blue,29.4,29.6
Blue,30.5,30.6
Blue,24.2,24.9
Blue,22.6,23
Blue,21.4,22.1
Blue,38.8,38.9
Blue,33.6,34.4
Blue,36.1,36.8
Blue,34.7,35.2
Blue,31,31.5
Blue,27.7,28.5
Blue,37,37.8
Blue,33.4,31.8
Blue,29.3,30.4
Blue,30.1,30.3
Blue,31.1,32
Blue,27.5,27.9
Blue,34.6,36.2
Blue,26,26.4
Blue,31.5,32.1
Blue,28.1,29
Blue,29.6,30.9
Blue,27.5,28.5
Blue,27.5,28.3
Blue,27,28.7
Blue,31.1,31.5
Blue,25,25.8
Blue,28.4,29.4
Blue,25.5,26.3
Blue,25.9,27.2
Blue,31.3,31.7
Blue,30.3,30.6
Blue,21.7,21.7
Blue,28.3,29.8
Blue,29.5,30.4
Blue,26.2,26.9
Blue,29.6,29.8
Blue,29.1,30.3
Blue,32.4,33.3
Blue,28.8,29.8
Blue,30.4,31
Blue,24.5,25.3
Blue,22.5,23.1
Blue,24.5,24.6
Blue,31.6,32.4
Blue,26,26.5
Blue,22.8,22.8
Blue,25.6,26
Blue,29.9,30.7
Blue,31.2,31.3
Blue,23.8,24.1
Blue,24.3,24.5
Blue,27.4,28
Blue,23.8,24.5
Blue,20.7,21.4
Blue,29.3,30.4
Blue,30.5,32
Blue,23,23.4
Blue,23.6,23.9
Blue,21.9,22.4
Blue,29.2,30
Blue,21.4,22.1
Blue,23.5,24
Blue,25.6,26
Blue,18.3,18.5
Blue,21.1,22.1
Blue,29.4,30.1
Blue,22.9,23.4
Blue,20.5,21.3
Blue,23.4,24.8
Blue,29.4,30.8
Blue,23.6,23.9
Blue,29.6,30.9
Blue,32.7,32.8
Blue,23.6,23.2
Blue,28.7,29.6
Blue,33.8,34.3
Blue,32.9,33.5
Blue,27.9,28.6
Blue,21.1,21.6
Blue,23,23.7
Blue,23.9,23.9
Blue,24.4,25
Blue,27.9,28.2
Blue,32,32.6
Blue,24,24.5
Blue,21.9,22.4
Blue,23.5,23.8
Blue,23.8,24.5
Blue,31.5,32
Blue,24.7,24.6
Blue,32,32.1
Blue,23.7,24.5
Blue,18.9,19
Blue,31.5,32
Blue,24.2,24.9
Blue,23.8,24.2
Blue,29.6,29.9
Blue,31,31.4
Blue,35.2,36.1
Blue,29.4,30.2
Blue,21.2,21.8
Blue,30.6,30.9
Blue,24.5,24.9
Blue,30.5,31.5
Blue,28.6,29
Blue,35.5,36.6
Blue,23.1,23.2
Blue,23.3,23.6
Blue,19.5,19.8
Blue,31.5,32.4
Blue,34.6,35.8
Blue,34,35.1
Blue,38.2,38.8
Blue,34.7,35.9
Blue,36.8,38
Blue,28.8,29.2
Blue,24.3,24.4
Blue,21.9,22
Blue,22,22.5
Blue,26.5,27.5
Blue,18.5,19.4
Blue,24.5,25
Blue,21,22
Blue,23.7,25
Blue,31.7,32.4
Blue,29.5,30.7
Blue,29.1,30
Blue,28.8,30
Blue,30.8,31.8
Blue,29.1,30.1
Blue,26.5,27.6
Blue,23.4,24
Blue,29.1,29.7
Blue,30,31.6
Blue,23.4,24.2
Blue,21.4,22
Blue,22.4,23
Blue,25.2,26
Blue,21.7,23
Blue,30.8,31.7
Blue,30.8,31.5
Blue,36.4,36.5
Blue,33.4,34.1
Blue,25.7,26
Blue,25,25.5
Blue,21.8,
Blue,26.2,26.6
Blue,23.5,23.9
Blue,27.8,28
Blue,20.8,21.6
Blue,25.7,26.2
Blue,26,27
Blue,26.8,27.1
Blue,23.3,24
Blue,28.4,29.1
Blue,27.5,28.9
Blue,24.2,24.7
Blue,25.9,27.4
Blue,24.9,25.5
Blue,21.7,22
Blue,34.2,34.5
Blue,22.4,22.9
Blue,36,37.6
Blue,23.6,24.1
Blue,31.8,32.1
Blue,33.4,33.9
Blue,27.6,28.5
Blue,28.5,29.6
Blue,26,26.9
Blue,34.5,35.3
Blue,34.3,34.8
Blue,32.1,33.4
Blue,28.7,29.8
Blue,30.8,31.8
Blue,28.3,29.5
Blue,27.6,28.4
Blue,26.6,27.5
Blue,28.4,29
