region,q16,q17,q18
Central,1,1,1
Central,1,4,4
Central,4,4,4
Northern,2,2,2
Central,4,1,1
Central,1,4,1
Central,1,1,1
Central,4,1,1
Northern,1,1,1
Northern,4,4,4
Northern,1,4,1
Northern,1,1,1
Northern,1,1,1
Northern,1,1,1
Central,4,1,1
Northern,1,1,1
Northern,1,1,4
Northern,1,1,1
Northern,1,1,1
Northern,1,1,1
Northern,1,4,4
Northern,1,1,1
Northern,1,1,1
Central,1,1,1
Central,1,1,1
Central,1,1,2
Central,1,1,1
Central,1,1,1
Southern,1,1,1
Southern,1,1,1
Southern,2,2,4
Southern,1,1,1
Southern,1,4,4
Central,1,4,1
Central,1,4,1
Central,4,4,1
Central,1,1,2
Southern,2,1,2
Northern,4,1,1
Central,1,1,1
Central,1,1,1
Central,1,1,1
Southern,1,1,1
Southern,2,4,2
Southern,1,1,4
Southern,1,2,1
Southern,1,4,1
Southern,2,1,1
Central,1,1,1
Southern,4,4,4
Southern,4,4,4
Central,1,4,1
Central,1,1,1
Southern,4,4,4
Central,4,4,1
Southern,1,4,4
Northern,4,4,4
Southern,1,4,1
Southern,1,4,1
Southern,1,4,1
Southern,1,1,1
Northern,1,2,2
Northern,1,1,4
Northern,4,2,4
Central,1,1,1
Northern,1,1,1
Central,1,4,4
Northern,1,1,1
Northern,2,1,1
Northern,1,1,1
Central,1,1,4
Southern,1,1,1
Central,1,1,1
Northern,1,1,1
Northern,4,4,4
Central,1,1,1
Central,1,1,1
Northern,1,1,1
Southern,1,4,1
Central,1,1,1
Northern,2,2,1
Northern,1,1,1
Northern,4,4,2
Central,1,1,1
Southern,1,1,1
Central,1,1,1
Southern,1,1,1
Southern,4,4,4
Southern,1,1,1
Southern,1,1,1
Southern,1,2,2
Southern,4,4,4
Central,1,1,1
Southern,1,2,2
Southern,4,4,4
Southern,1,1,1
Southern,1,1,1
Southern,1,1,1
Southern,1,1,1
Central,1,1,1
Southern,1,1,1
Central,1,1,1
Southern,1,1,1
Southern,1,1,2
Southern,1,1,1
Southern,4,4,4
Central,1,1,1
Central,4,1,1
Central,1,1,1
Central,1,1,1
Central,2,1,2
Central,4,4,4
Central,1,1,1
Central,1,1,1
Northern,1,1,1
Central,1,1,1
Southern,1,1,1
Southern,1,1,4
Southern,1,1,1
Southern,4,4,4
Southern,1,1,1
Southern,4,4,4
Southern,1,1,1
Southern,1,1,1
Southern,4,2,2
Southern,1,1,1
Central,1,1,1
Southern,4,4,4
Northern,1,1,1
Northern,1,1,1
Northern,1,1,2
Southern,4,4,4
Northern,1,1,1
Central,1,1,2
Central,1,1,1
Central,1,1,1
Central,4,4,4
Southern,4,4,4
Central,1,1,1
Central,4,1,1
